year,category,prize,motivation,price_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1902,Physics,The Nobel Prize in Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,the Netherlands,male,Leiden University,Leiden,the Netherlands,1928-02-04,,the Netherlands
1902,Physics,The Nobel Prize in Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,the Netherlands,male,Amsterdam University,Amsterdam,the Netherlands,1943-10-09,Amsterdam,the Netherlands
1902,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",1,294,Individual,Ronald Ross,1857-05-13,Almora,India,male,University College,Liverpool,United Kingdom,1932-09-16,Putney Heath,United Kingdom
1903,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,1,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,male,Stockholm University,Stockholm,Sweden,1927-10-02,Stockholm,Sweden
1903,Literature,The Nobel Prize in Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",1,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,male,,,,1910-04-26,Paris,France
1903,Peace,The Nobel Peace Prize,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,1,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,male,,,,1908-07-22,London,United Kingdom
1903,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,1/2,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,male,École Polytechnique,Paris,France,1908-08-25,,France
1903,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire,female,,,,1934-07-04,Sallanches,France
1903,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,5,Individual,Pierre Curie,1859-05-15,Paris,France,male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1906-04-19,Paris,France
1903,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",1,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),male,Finsen Medical Light Institute,Copenhagen,Denmark,1904-09-24,Copenhagen,Denmark
1904,Chemistry,The Nobel Prize in Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",1,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,male,University College,London,United Kingdom,1916-07-23,High Wycombe,United Kingdom
1904,Literature,The Nobel Prize in Literature,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",1/2,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,male,,,,1914-03-25,Maillane,France
1904,Literature,The Nobel Prize in Literature,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",1/2,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,male,,,,1916-09-04,Madrid,Spain
1904,Peace,The Nobel Peace Prize,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,1,467,Organization,Institute of International Law,1873-01-01,Ghent,Belgium,,,,,,,
1904,Physics,The Nobel Prize in Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,1,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,male,Royal Institution of Great Britain,London,United Kingdom,1919-06-30,,United Kingdom
1904,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",1,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,male,Military Medical Academy,St. Petersburg,Russia,1936-02-27,Leningrad,Russia
1905,Chemistry,The Nobel Prize in Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia,male,Munich University,Munich,Germany,1917-08-20,Starnberg,Germany
1905,Literature,The Nobel Prize in Literature,because of his outstanding merits as an epic writer,1,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,male,,,,1916-11-15,Vevey,Switzerland
1905,Peace,The Nobel Peace Prize,for her audacity to oppose the horrors of war,1,468,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire,female,,,,1914-06-21,Vienna,Austria
1905,Physics,The Nobel Prize in Physics,for his work on cathode rays,1,9,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg,Hungary,male,Kiel University,Kiel,Germany,1947-05-20,Messelhausen,Germany
1905,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his investigations and discoveries in relation to tuberculosis,1,297,Individual,Robert Koch,1843-12-11,Clausthal,Germany,male,Institute for Infectious Diseases,Berlin,Germany,1910-05-27,Baden-Baden,Germany
1906,Chemistry,The Nobel Prize in Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",1,165,Individual,Henri Moissan,1852-09-28,Paris,France,male,Sorbonne University,Paris,France,1907-02-20,Paris,France
1906,Literature,The Nobel Prize in Literature,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",1,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany,male,,,,1907-02-16,Bologna,Italy
1906,Peace,The Nobel Peace Prize,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",1,470,Individual,Theodore Roosevelt Jr.,1858-10-27,"New York, NY",USA,male,,,,1919-01-06,"Oyster Bay, NY",USA
1906,Physics,The Nobel Prize in Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,1,10,Individual,Joseph John Thomson,1856-12-18,Cheetham Hill,United Kingdom,male,University of Cambridge,Cambridge,United Kingdom,1940-08-30,Cambridge,United Kingdom
1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on the structure of the nervous system,1/2,298,Individual,Camillo Golgi,1843-07-07,Corteno,Italy,male,Pavia University,Pavia,Italy,1926-01-21,Pavia,Italy
1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on the structure of the nervous system,1/2,299,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragón,Spain,male,Madrid University,Madrid,Spain,1934-10-17,Madrid,Spain
1907,Chemistry,The Nobel Prize in Chemistry,for his biochemical researches and his discovery of cell-free fermentation,1,166,Individual,Eduard Buchner,1860-05-20,Munich,Bavaria,male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1917-08-13,Focsani,Romania
1907,Literature,The Nobel Prize in Literature,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",1,577,Individual,Rudyard Kipling,1865-12-30,Bombay,British India,male,,,,1936-01-18,London,United Kingdom
1907,Peace,The Nobel Peace Prize,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",1/2,471,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire,male,,,,1918-02-10,Milan,Italy
1907,Peace,The Nobel Peace Prize,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,1/2,472,Individual,Louis Renault,1843-05-21,Autun,France,male,Sorbonne University,Paris,France,1918-02-08,Barbizon,France
1907,Physics,The Nobel Prize in Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1,11,Individual,Albert Abraham Michelson,1852-12-19,Strelno,Prussia,male,University of Chicago,"Chicago, IL",USA,1931-05-09,"Pasadena, CA",USA
1907,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of his work on the role played by protozoa in causing diseases,1,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,male,Institut Pasteur,Paris,France,1922-05-18,Paris,France
1908,Chemistry,The Nobel Prize in Chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",1,167,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,male,Victoria University,Manchester,United Kingdom,1937-10-19,Cambridge,United Kingdom
1908,Literature,The Nobel Prize in Literature,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",1,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland,male,,,,1926-09-14,Jena,Germany
1908,Peace,The Nobel Peace Prize,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",1/2,474,Individual,Fredrik Bajer,1837-04-21,Næstved,Denmark,male,,,,1922-01-22,Copenhagen,Denmark
1908,Peace,The Nobel Peace Prize,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",1/2,473,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,male,,,,1916-02-20,Stockholm,Sweden
1908,Physics,The Nobel Prize in Physics,for his method of reproducing colours photographically based on the phenomenon of interference,1,12,Individual,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,male,Sorbonne University,Paris,France,1921-07-13,,
1908,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on immunity,1/2,301,Individual,Ilya Ilyich Mechnikov,1845-05-15,Kharkov,Russian Empire,male,Institut Pasteur,Paris,France,1916-07-15,Paris,France
1908,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on immunity,1/2,302,Individual,Paul Ehrlich,1854-03-14,Strehlen,Prussia,male,Goettingen University,Göttingen,Germany,1915-08-20,Bad Homburg vor der Höhe,Germany
1909,Chemistry,The Nobel Prize in Chemistry,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,1,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire,male,Leipzig University,Leipzig,Germany,1932-04-04,Leipzig,Germany
1909,Literature,The Nobel Prize in Literature,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",1,579,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,female,,,,1940-03-16,Mårbacka,Sweden
1909,Peace,The Nobel Peace Prize,for their prominent position in the international movement for peace and arbitration,1/2,475,Individual,Auguste Marie François Beernaert,1829-07-26,Ostend,Belgium,male,,,,1912-10-06,Lucerne,Switzerland
1909,Peace,The Nobel Peace Prize,for their prominent position in the international movement for peace and arbitration,1/2,476,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,France,male,,,,1924-05-15,Paris,France
1909,Physics,The Nobel Prize in Physics,in recognition of their contributions to the development of wireless telegraphy,1/2,14,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel,male,Strasbourg University,Strasbourg,Germany,1918-04-20,"Brooklyn, NY",USA
1909,Physics,The Nobel Prize in Physics,in recognition of their contributions to the development of wireless telegraphy,1/2,13,Individual,Guglielmo Marconi,1874-04-25,Bologna,Italy,male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1937-07-20,Rome,Italy
1909,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on the physiology, pathology and surgery of the thyroid gland",1,303,Individual,Emil Theodor Kocher,1841-08-25,Bern,Switzerland,male,Berne University,Bern,Switzerland,1917-07-27,Bern,Switzerland
1910,Chemistry,The Nobel Prize in Chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,1,169,Individual,Otto Wallach,1847-03-27,Koenigsberg,Germany,male,Goettingen University,Göttingen,Germany,1931-02-26,Göttingen,Germany
1910,Literature,The Nobel Prize in Literature,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",1,580,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Prussia,male,,,,1914-04-02,Munich,Germany
1910,Peace,The Nobel Peace Prize,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",1,477,Organization,Permanent International Peace Bureau,1891-01-01,Bern,Switzerland,,,,,,,
1910,Physics,The Nobel Prize in Physics,for his work on the equation of state for gases and liquids,1,15,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,the Netherlands,male,Amsterdam University,Amsterdam,the Netherlands,1923-03-08,Amsterdam,the Netherlands
1910,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",1,304,Individual,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg,male,University of Heidelberg,Heidelberg,Germany,1927-07-05,Heidelberg,Germany
1911,Chemistry,The Nobel Prize in Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire,female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France
1911,Literature,The Nobel Prize in Literature,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",1,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,male,,,,1949-05-06,Nice,France
1911,Peace,The Nobel Peace Prize,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",1/2,479,Individual,Alfred Hermann Fried,1864-11-11,Vienna,Austria,male,,,,1921-05-04,Vienna,Austria
1911,Peace,The Nobel Peace Prize,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",1/2,478,Individual,Tobias Michael Carel Asser,1838-04-28,Amsterdam,the Netherlands,male,,,,1913-07-29,the Hague,the Netherlands
1911,Physics,The Nobel Prize in Physics,for his discoveries regarding the laws governing the radiation of heat,1,16,Individual,Wilhelm Wien,1864-01-13,Gaffken,Prussia,male,Würzburg University,Würzburg,Germany,1928-08-30,Munich,Germany
1911,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his work on the dioptrics of the eye,1,305,Individual,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,male,Uppsala University,Uppsala,Sweden,1930-07-28,Stockholm,Sweden
1912,Chemistry,The Nobel Prize in Chemistry,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,1/2,173,Individual,Paul Sabatier,1854-11-05,Carcassonne,France,male,Toulouse University,Toulouse,France,1941-08-14,Toulouse,France
1912,Chemistry,The Nobel Prize in Chemistry,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",1/2,172,Individual,Victor Grignard,1871-05-06,Cherbourg,France,male,Nancy University,Nancy,France,1935-12-13,Lyon,France
1912,Literature,The Nobel Prize in Literature,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",1,582,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Prussia,male,,,,1946-06-06,Agnetendorf,Germany
1912,Peace,The Nobel Peace Prize,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,1,480,Individual,Elihu Root,1845-02-15,"Clinton, NY",USA,male,,,,1937-02-07,"New York, NY",USA
1912,Physics,The Nobel Prize in Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,1,17,Individual,Nils Gustaf Dalén,1869-11-30,Stenstorp,Sweden,male,Swedish Gas-Accumulator Co.,"Lidingö, Stockholm",Sweden,1937-12-09,Stockholm,Sweden
1912,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,1,306,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,male,Rockefeller Institute for Medical Research,"New York, NY",USA,1944-11-05,Paris,France
1913,Chemistry,The Nobel Prize in Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,1,174,Individual,Alfred Werner,1866-12-12,Mulhouse,France,male,University of Zurich,Zurich,Switzerland,1919-11-15,Zurich,Switzerland
1913,Literature,The Nobel Prize in Literature,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",1,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,male,,,,1941-08-07,Calcutta,India
1913,Peace,The Nobel Peace Prize,for his unparalleled contribution to the organization of peaceful internationalism,1,481,Individual,Henri La Fontaine,1854-04-22,Brussels,Belgium,male,,,,1943-05-14,Brussels,Belgium
1913,Physics,The Nobel Prize in Physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",1,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,the Netherlands,male,Leiden University,Leiden,the Netherlands,1926-02-21,Leiden,the Netherlands
1913,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of his work on anaphylaxis,1,307,Individual,Charles Robert Richet,1850-08-26,Paris,France,male,Sorbonne University,Paris,France,1935-12-04,Paris,France
1914,Chemistry,The Nobel Prize in Chemistry,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,1,175,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",USA,male,Harvard University,"Cambridge, MA",USA,1928-04-02,"Cambridge, MA",USA
1914,Physics,The Nobel Prize in Physics,for his discovery of the diffraction of X-rays by crystals,1,19,Individual,Max von Laue,1879-10-09,Pfaffendorf,Germany,male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1960-04-23,Berlin,West Germany
1914,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his work on the physiology and pathology of the vestibular apparatus,1,308,Individual,Robert Bárány,1876-04-22,Vienna,Austria,male,Vienna University,Vienna,Austria,1936-04-08,Uppsala,Sweden
1915,Chemistry,The Nobel Prize in Chemistry,"for his researches on plant pigments, especially chlorophyll",1,176,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,Germany,male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1942-08-03,Locarno,Switzerland
1915,Literature,The Nobel Prize in Literature,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,1,584,Individual,Romain Rolland,1866-01-29,Clamecy,France,male,,,,1944-12-30,Vézelay,France
1915,Physics,The Nobel Prize in Physics,for their services in the analysis of crystal structure by means of X-rays,1/2,21,Individual,William Lawrence Bragg,1890-03-31,Adelaide,Australia,male,Victoria University,Manchester,United Kingdom,1971-07-01,Ipswich,United Kingdom
1915,Physics,The Nobel Prize in Physics,for their services in the analysis of crystal structure by means of X-rays,1/2,20,Individual,Sir William Henry Bragg,1862-07-02,Wigton,United Kingdom,male,University College,London,United Kingdom,1942-03-12,London,United Kingdom
1916,Literature,The Nobel Prize in Literature,in recognition of his significance as the leading representative of a new era in our literature,1,585,Individual,Carl Gustaf Verner von Heidenstam,1859-07-06,Olshammar,Sweden,male,,,,1940-05-20,Övralid,Sweden
1917,Literature,The Nobel Prize in Literature,for his authentic descriptions of present-day life in Denmark,1/2,587,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,male,,,,1943-08-21,Ordrup,Denmark
1917,Literature,The Nobel Prize in Literature,"for his varied and rich poetry, which is inspired by lofty ideals",1/2,586,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,male,,,,1919-10-11,Klotzsche,Germany
1917,Peace,The Nobel Peace Prize,for the efforts to take care of wounded soldiers and prisoners of war and their families,1,482,Organization,International Committee of the Red Cross,1863-01-01,Geneva,Switzerland,,,,,,,
1917,Physics,The Nobel Prize in Physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,1,22,Individual,Charles Glover Barkla,1877-06-07,Widnes,United Kingdom,male,Edinburgh University,Edinburgh,United Kingdom,1944-10-23,Edinburgh,Scotland
1918,Chemistry,The Nobel Prize in Chemistry,for the synthesis of ammonia from its elements,1,177,Individual,Fritz Haber,1868-12-09,Breslau,Prussia,male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1934-01-29,Basel,Switzerland
1918,Physics,The Nobel Prize in Physics,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,1,23,Individual,Max Karl Ernst Ludwig Planck,1858-04-23,Kiel,Schleswig,male,Berlin University,Berlin,Germany,1947-10-04,Göttingen,West Germany
1919,Literature,The Nobel Prize in Literature,"in special appreciation of his epic, <I>Olympian Spring</I>",1,588,Individual,Carl Friedrich Georg Spitteler,1845-04-24,Liestal,Switzerland,male,,,,1924-12-29,Lucerne,Switzerland
1919,Peace,The Nobel Peace Prize,for his role as founder of the League of Nations,1,483,Individual,Thomas Woodrow Wilson,1856-12-28,"Staunton, VA",USA,male,,,,1924-02-03,"Washington, D.C.",USA
1919,Physics,The Nobel Prize in Physics,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,1,24,Individual,Johannes Stark,1874-04-15,Schickenhof,Germany,male,Greifswald University,Greifswald,Germany,1957-06-21,Traunstein,West Germany
1919,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries relating to immunity,1,309,Individual,Jules Bordet,1870-06-13,Soignies,Belgium,male,Brussels University,Brussels,Belgium,1961-04-06,Brussels,Belgium
1920,Chemistry,The Nobel Prize in Chemistry,in recognition of his work in thermochemistry,1,178,Individual,Walther Hermann Nernst,1864-06-25,Briesen,Prussia,male,Berlin University,Berlin,Germany,1941-11-18,Muskau,Germany
1920,Literature,The Nobel Prize in Literature,"for his monumental work, <I>Growth of the Soil</I>",1,589,Individual,Knut Pedersen Hamsun,1859-08-04,Lom,Norway,male,,,,1952-02-19,Grimstad,Norway
1920,Peace,The Nobel Peace Prize,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,1,484,Individual,Léon Victor Auguste Bourgeois,1851-05-21,Paris,France,male,,,,1925-09-29,Épernay,France
1920,Physics,The Nobel Prize in Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,1,25,Individual,Charles Edouard Guillaume,1861-02-15,Fleurier,Switzerland,male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,1938-06-13,Sèvres,France
1920,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the capillary motor regulating mechanism,1,310,Individual,Schack August Steenberg Krogh,1874-11-15,Grenå,Denmark,male,Copenhagen University,Copenhagen,Denmark,1949-09-13,Copenhagen,Denmark
1921,Chemistry,The Nobel Prize in Chemistry,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",1,179,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,male,University of Oxford,Oxford,United Kingdom,1956-09-22,Brighton,United Kingdom
1921,Literature,The Nobel Prize in Literature,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",1,590,Individual,Anatole France,1844-04-16,Paris,France,male,,,,1924-10-12,Saint-Cyr-sur-Loire,France
1921,Peace,The Nobel Peace Prize,for their lifelong contributions to the cause of peace and organized internationalism,1/2,486,Individual,Christian Lous Lange,1869-09-17,Stavanger,Norway,male,,,,1938-12-11,Oslo,Norway
1921,Peace,The Nobel Peace Prize,for their lifelong contributions to the cause of peace and organized internationalism,1/2,485,Individual,Karl Hjalmar Branting,1860-11-23,Stockholm,Sweden,male,,,,1925-02-24,Stockholm,Sweden
1921,Physics,The Nobel Prize in Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",1,26,Individual,Albert Einstein,1879-03-14,Ulm,Germany,male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1955-04-18,"Princeton, NJ",USA
